	ImmClust
TCGA-AS-3777-01A-01R-0864-07	C2
TCGA-CJ-4887-01A-01R-1305-07	C2
TCGA-B0-4696-01A-01R-1277-07	C2
TCGA-BP-5175-01A-01R-1426-07	C2
TCGA-B0-4810-01A-01R-1503-07	C2
TCGA-BP-5001-01A-01R-1334-07	C2
TCGA-DV-5576-01A-01R-1541-07	C2
TCGA-MM-A563-01A-11R-A266-07	C2
TCGA-B0-4718-01A-01R-1277-07	C2
TCGA-DV-5568-01A-01R-1541-07	C2
TCGA-B0-4694-01A-01R-1277-07	C2
